5;1;1;1
10;3;3;3
15;4;4;5
20;5;5;5
25;7;7;7
30;8;8;8
35;9;9;9
40;10;10;10
45;11;11;11
50;11;11;12
55;12;12;13
60;13;13;14
65;14;14;14
70;15;15;15
75;16;16;16
80;17;17;17
85;18;18;18
90;18;18;19
95;19;19;19
100;20;20;20
105;21;21;21
110;21;21;22
115;22;22;22
120;23;23;23
125;24;24;24
130;24;24;25
135;25;25;26
140;26;26;26
145;26;26;27
150;27;27;28
155;28;28;28
160;28;28;29
165;29;29;30
170;30;30;30
175;31;31;31
180;31;31;32
185;32;32;33
190;33;33;33
195;33;33;34
200;34;34;34
